,Unnamed: 0,Column,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,application_type,tot_cur_bal,open_act_il,mths_since_rcnt_il,total_bal_il,il_util,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
77756,77756,77756,24000,24000,24000, 60 months,14.47,564.31,5,10.0,6,130000.0,Source Verified,Jan-19,Fully Paid,credit_card,IL,26.1,Mar-02,34.0,19,27297,47.7,42,w,0.0,0.0,24700.57525,24700.58,24000.0,700.58,May-19,26.94,,May-19,Individual,634876,4,17.0,249350,74.0,4,14037,61.0,57200,8,33415.0,19289.0,53.7,202.0,197,1,1,1.0,2.0,,5,9,6,9,12,14,28,9,19,3,97.4,631673,276647,41700,205638
77775,77775,77775,20000,20000,20000, 60 months,8.19,407.35,7,10.0,6,83000.0,Not Verified,Jan-19,Fully Paid,credit_card,NY,16.99,Apr-06,26.0,13,6785,17.0,33,f,0.0,0.0,20010.2375,20010.24,20000.0,10.24,Feb-19,20028.44,,Feb-19,Individual,158882,5,14.0,62771,80.0,2,3154,59.0,39900,6,13240.0,12846.0,19.7,147.0,153,17,14,17.0,14.0,26.0,1,3,3,5,14,6,18,3,13,0,97.0,214635,69556,16000,78835
77791,77791,77791,19500,19500,19500, 36 months,10.33,632.24,6,3.0,6,164435.0,Not Verified,Feb-19,Charged Off,home_improvement,MI,25.95,Jul-02,17.0,19,18226,20.3,42,f,19500.0,19500.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,Jan-19,Individual,107450,4,3.0,89224,91.0,6,3992,39.0,124700,9,5655.0,62648.0,16.2,198.0,190,9,3,14.0,0.0,17.0,4,8,7,13,18,15,23,8,19,3,97.6,276703,107450,68000,152003
77848,77848,77848,5000,5000,5000, 36 months,11.31,164.43,6,10.0,6,92000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,TX,2.22,Aug-06,32.0,6,5293,29.7,18,w,0.0,0.0,5021.9933329999985,5021.99,5000.0,21.99,Feb-19,25.13,,Feb-19,Individual,261933,0,28.0,0,,3,3132,30.0,17800,4,43656.0,9007.0,37.0,148.0,119,9,9,9.0,14.0,32.0,3,3,4,6,7,5,7,3,6,1,55.6,281332,5293,14300,0
77850,77850,77850,18000,18000,18000, 60 months,14.47,423.23,5,10.0,5,56000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,MA,18.47,Nov-06,,13,15101,52.8,16,f,0.0,0.0,18009.8396,18009.84,18000.0,9.84,Feb-19,18024.31,,May-19,Individual,22010,1,15.0,6909,69.0,3,4682,57.0,28600,4,1693.0,7103.0,57.2,143.0,146,5,5,5.0,18.0,,5,8,6,6,2,12,14,8,13,1,100.0,38600,22010,16600,10000
77858,77858,77858,35000,35000,35000, 36 months,16.91,1246.28,5,1.0,6,165000.0,Not Verified,Jan-19,Charged Off,debt_consolidation,FL,27.16,May-00,77.0,16,66220,56.6,48,w,35000.0,35000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,388400,2,17.0,42389,40.0,4,15368,49.0,117000,8,24275.0,42838.0,59.0,126.0,195,5,5,6.0,5.0,81.0,6,7,8,13,20,12,22,7,16,2,95.7,505620,111164,104400,89000
77860,77860,77860,19500,19500,19500, 36 months,24.37,768.84,3,10.0,5,87000.0,Not Verified,Jan-19,Fully Paid,credit_card,IL,22.19,Aug-01,,31,26336,40.1,35,f,0.0,0.0,20511.86401,20511.86,19500.0,1011.86,Apr-19,253.81,,Apr-19,Individual,50422,1,10.0,24086,91.0,8,6319,55.0,65600,10,1627.0,19897.0,39.9,81.0,209,1,1,3.0,3.0,,4,23,4,4,3,30,31,23,31,6,100.0,92196,50422,33100,26596
77870,77870,77870,8000,8000,8000, 36 months,13.56,271.72,5,8.0,5,36000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,MO,19.2,Jan-96,,7,7533,42.6,11,w,0.0,0.0,8160.940939,8160.94,8000.0,160.94,Feb-19,8166.97,,Mar-19,Individual,14067,1,12.0,6534,74.0,3,3915,53.0,17700,4,2010.0,8043.0,40.9,153.0,276,6,6,6.0,11.0,,2,3,4,4,3,6,8,3,7,2,100.0,26525,14067,13600,8825
77892,77892,77892,7000,7000,7000, 36 months,8.81,221.98,7,4.0,4,60000.0,Not Verified,Jan-19,Fully Paid,credit_card,TX,26.2,Dec-00,23.0,15,20784,29.2,32,w,0.0,0.0,7166.021320000003,7166.02,7000.0,166.02,Apr-19,6725.49,,May-19,Individual,79974,1,41.0,19557,,2,3007,29.0,71200,2,5712.0,34802.0,15.3,162.0,217,2,2,35.0,10.0,23.0,4,10,5,7,6,13,24,10,15,2,96.7,196403,40341,41100,40203
77929,77929,77929,4000,4000,4000, 36 months,7.02,123.55,7,5.0,5,100000.0,Not Verified,Jan-19,Fully Paid,vacation,FL,18.98,Jul-08,,17,7234,15.4,32,w,0.0,0.0,4013.4594,4013.46,4000.0,13.46,Feb-19,1765.02,,May-19,Individual,74742,10,1.0,67508,76.0,1,6224,55.0,47000,4,4397.0,26776.0,18.9,111.0,126,14,1,55.0,1.0,,1,2,4,7,22,7,10,2,17,2,100.0,135598,74742,33000,88598
78000,78000,78000,37875,37875,37875, 60 months,16.14,923.87,5,10.0,5,65000.0,Source Verified,Jan-19,Charged Off,debt_consolidation,NY,20.9,Jul-06,,7,10932,69.6,7,w,37040.52,37040.52,1813.78,1813.78,834.48,979.3,Mar-19,923.87,Jun-19,May-19,Individual,25398,2,34.0,14466,47.0,0,3470,55.0,15700,0,3628.0,56.0,99.3,46.0,150,47,34,145.0,,,3,4,3,3,2,5,5,4,7,0,100.0,46200,25398,7900,30500
78015,78015,78015,1500,1500,1500, 36 months,6.46,45.95,7,1.0,5,99000.0,Source Verified,Jan-19,Fully Paid,moving,CA,9.96,Jul-70,29.0,10,13845,8.3,19,f,0.0,0.0,1500.28365,1500.28,1500.0,0.28,Feb-19,1500.82,,May-19,Individual,27961,2,14.0,14116,60.0,2,8811,23.0,107700,3,3495.0,92655.0,8.5,158.0,400,15,14,16.0,12.0,29.0,4,4,6,7,8,7,9,4,10,0,88.9,131300,27961,106500,23600
78027,78027,78027,20000,20000,20000, 36 months,6.46,612.62,7,10.0,6,92000.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,KS,12.47,Sep-03,65.0,8,583,2.5,24,w,0.0,0.0,20170.45222,20170.45,20000.0,170.45,Feb-19,20177.63,,Mar-19,Individual,184333,2,5.0,44592,90.0,1,519,39.0,23000,4,23042.0,20917.0,2.7,184.0,123,3,3,3.0,5.0,,2,2,3,11,6,4,14,2,8,3,95.8,256966,49030,21500,70970
78064,78064,78064,25000,25000,25000, 36 months,17.97,903.44,4,2.0,5,350000.0,Source Verified,Jan-19,Fully Paid,credit_card,NC,3.68,Feb-04,7.0,6,9307,84.6,21,f,0.0,0.0,25569.28635,25569.29,25000.0,569.29,Feb-19,25594.25,,Mar-19,Individual,47227,1,14.0,37920,,1,7570,85.0,11000,2,7871.0,1151.0,87.2,158.0,179,14,14,25.0,0.0,7.0,3,5,3,3,9,5,9,5,6,0,71.4,55345,47227,9000,44345
78065,78065,78065,2000,2000,2000, 36 months,20.89,75.24,4,10.0,6,40000.0,Not Verified,Jan-19,Fully Paid,other,NY,5.16,Apr-00,,3,2063,29.5,25,w,0.0,0.0,2068.966862,2068.97,2000.0,68.97,Mar-19,1106.05,,May-19,Individual,4791,1,3.0,2728,91.0,1,990,48.0,7000,5,1597.0,10.0,99.0,91.0,225,11,3,11.0,3.0,,1,2,1,8,7,2,16,2,3,5,100.0,10000,4791,1000,3000
78102,78102,78102,9350,9350,9350, 36 months,11.31,307.49,6,10.0,6,61195.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,TX,9.12,May-99,,10,8450,28.5,42,w,0.0,0.0,9585.073269,9585.07,9350.0,235.07,Apr-19,8975.8,,Apr-19,Individual,196009,1,61.0,187559,,4,8450,29.0,29700,4,19601.0,13750.0,38.1,149.0,236,18,18,18.0,18.0,,1,1,3,5,17,9,22,1,10,0,100.0,177896,196009,22200,148196
78104,78104,78104,10000,10000,10000, 36 months,16.14,352.27,5,4.0,5,44000.0,Source Verified,Jan-19,Charged Off,debt_consolidation,FL,22.74,Mar-02,25.0,16,11833,43.5,23,w,9561.53,9561.53,695.57,695.57,438.47,257.1,Mar-19,352.27,Jun-19,May-19,Individual,33181,3,38.0,21348,98.0,12,1706,68.0,27200,12,2074.0,2902.0,40.8,202.0,41,7,7,7.0,9.0,,2,7,3,3,9,13,14,7,16,5,91.3,49095,33181,4900,21895
78159,78159,78159,25000,25000,25000, 36 months,10.33,810.56,6,1.0,5,85000.0,Not Verified,Jan-19,Charged Off,credit_card,NY,5.08,Dec-07,,9,10335,42.9,11,w,23804.17,23804.17,1606.77,1606.77,1195.83,410.94,Mar-19,810.56,Jun-19,May-19,Individual,10335,0,133.0,0,,3,3005,43.0,24100,3,1148.0,10931.0,28.6,133.0,64,18,18,18.0,2.0,,2,4,4,4,1,9,10,4,9,0,100.0,24100,10335,15300,0
78161,78161,78161,16000,16000,16000, 60 months,11.31,350.36,6,3.0,6,31000.0,Verified,Jan-19,Fully Paid,debt_consolidation,UT,22.45,Dec-09,,6,3747,24.8,9,w,0.0,0.0,16552.77299,16552.77,16000.0,552.77,Apr-19,15862.1,,May-19,Joint App,260294,1,12.0,30582,,1,1667,25.0,15100,3,52059.0,9031.0,16.4,82.0,109,22,12,22.0,15.0,,2,3,3,3,3,4,4,3,6,1,100.0,281503,34329,10800,35838
78163,78163,78163,16000,16000,16000, 36 months,8.81,507.39,7,6.0,6,107000.0,Source Verified,Jan-19,Fully Paid,home_improvement,SD,15.81,Jul-07,,5,2508,11.2,23,w,0.0,0.0,16282.079719999998,16282.08,16000.0,282.08,Mar-19,15782.52,,Apr-19,Individual,216175,2,2.0,71211,100.0,0,2503,64.0,22400,8,43235.0,19892.0,11.2,112.0,138,32,2,32.0,2.0,,2,2,2,3,17,2,5,2,5,5,100.0,242993,73719,22400,71211
78174,78174,78174,15000,15000,15000, 36 months,27.27,614.56,3,4.0,6,85000.0,Verified,Jan-19,Fully Paid,debt_consolidation,GA,22.05,Nov-11,63.0,12,24151,56.6,35,w,0.0,0.0,15610.47025,15610.47,15000.0,610.47,Mar-19,15633.19,,May-19,Individual,408384,2,8.0,22395,72.0,1,3831,63.0,42700,4,34032.0,1189.0,91.0,85.0,86,2,2,2.0,2.0,,5,9,5,5,24,9,9,9,12,3,100.0,452690,46546,13200,31000
78196,78196,78196,10000,10000,10000, 60 months,16.91,248.05,5,3.0,6,36600.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,FL,39.04,Jan-05,,14,8255,20.7,23,w,0.0,0.0,10006.392670000001,10006.39,10000.0,6.39,Feb-19,10015.78,,May-19,Individual,152863,5,4.0,61550,100.0,1,2165,63.0,39800,3,10919.0,28751.0,21.9,168.0,135,5,4,5.0,4.0,,5,6,6,8,8,7,12,6,14,2,100.0,204495,70465,36800,61506
78212,78212,78212,28500,28500,28500, 36 months,7.56,887.32,7,10.0,6,56000.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,AZ,12.75,May-98,,16,6082,9.7,38,w,0.0,0.0,28548.1404,28548.14,28500.0,48.14,Feb-19,28560.11,,Feb-19,Individual,169860,1,7.0,20955,94.0,4,1889,32.0,62600,7,10616.0,40040.0,9.0,160.0,248,3,3,9.0,3.0,,5,8,9,12,10,14,23,8,16,6,100.0,228758,27037,44000,22238
78247,78247,78247,20000,20000,20000, 60 months,16.91,496.09,5,10.0,6,75000.0,Not Verified,Jan-19,Charged Off,debt_consolidation,OH,26.06,Apr-04,,17,13643,35.6,33,w,19568.87,19568.87,1494.28,1494.28,431.13,1038.35,May-19,520.89,Jun-19,May-19,Joint App,242264,4,39.0,72008,50.0,2,2892,44.0,38300,2,14251.0,16111.0,39.0,177.0,172,2,2,2.0,16.0,,7,12,7,7,16,12,16,12,17,1,100.0,307619,85651,26400,89119
78261,78261,78261,5000,5000,5000, 36 months,17.97,180.69,4,5.0,6,75000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,NJ,7.76,Jun-08,,5,1900,43.2,11,f,0.0,0.0,5156.232761,5156.23,5000.0,156.23,Apr-19,4980.53,,Apr-19,Individual,15004,1,2.0,13104,96.0,4,1884,83.0,4400,5,3001.0,2500.0,43.2,2.0,127,6,2,6.0,2.0,,3,3,4,10,1,4,10,3,5,4,100.0,17997,15004,4400,13597
78263,78263,78263,3750,3750,3750, 36 months,6.46,114.87,7,4.0,5,95000.0,Not Verified,Jan-19,Fully Paid,credit_card,WA,8.1,Nov-07,,8,9744,31.1,8,w,0.0,0.0,3754.9585939999997,3754.96,3750.0,4.96,Feb-19,3756.31,,Apr-19,Individual,25692,2,33.0,15948,55.0,1,2535,43.0,31300,1,3212.0,12065.0,17.4,76.0,134,0,0,0.0,0.0,,1,3,2,2,2,6,6,3,8,1,100.0,60086,25692,14600,28786
78279,78279,78279,2000,2000,2000, 36 months,8.81,63.43,7,4.0,6,100000.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,LA,2.6,Jul-03,,5,1898,13.1,15,w,0.0,0.0,2046.527656,2046.53,2000.0,46.53,Apr-19,1920.65,,May-19,Individual,203175,1,7.0,5858,26.0,4,237,21.0,14500,6,40635.0,5763.0,4.0,163.0,186,0,0,14.0,7.0,,1,3,1,3,8,3,6,3,5,3,100.0,256848,7756,6000,22348
78329,78329,78329,6500,6500,6500, 36 months,13.56,220.77,5,10.0,5,44000.0,Not Verified,Jan-19,Fully Paid,credit_card,NJ,23.0,Mar-01,,14,7956,44.9,18,w,0.0,0.0,6503.3264,6503.33,6500.0,3.33,Feb-19,6508.23,,May-19,Individual,29837,1,25.0,21881,67.0,11,1745,59.0,17700,11,2131.0,8046.0,42.9,214.0,35,3,3,3.0,6.0,,9,13,9,9,5,13,13,13,14,4,100.0,50524,29837,14100,32824
78370,78370,78370,1200,1200,1200, 36 months,14.47,41.29,5,10.0,6,104000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,TX,18.95,Dec-03,,4,41,0.2,15,w,0.0,0.0,1210.616,1210.62,1200.0,10.62,Feb-19,1211.58,,May-19,Individual,201532,2,6.0,65348,82.0,0,41,50.0,23000,2,50383.0,22959.0,0.2,142.0,181,81,6,127.0,16.0,,1,1,1,2,7,1,4,1,4,1,100.0,239150,65389,23000,73000
78400,78400,78400,15000,15000,15000, 36 months,12.98,505.27,6,9.0,5,50000.0,Source Verified,Jan-19,Charged Off,medical,VT,9.7,Jul-04,,5,2422,15.2,9,f,15000.0,15000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,11724,1,7.0,9302,80.0,1,904,43.0,15900,2,2345.0,7396.0,10.9,174.0,104,15,7,104.0,0.0,,1,3,1,1,4,4,5,3,5,1,100.0,27603,11724,8300,11703
78407,78407,78407,16000,16000,16000, 60 months,17.97,406.04,4,8.0,6,60000.0,Source Verified,Jan-19,Fully Paid,home_improvement,CA,4.58,Nov-92,,19,9867,24.4,34,w,0.0,0.0,16323.714569999998,16323.71,16000.0,323.71,Feb-19,16339.68,,Mar-19,Individual,303256,5,10.0,22791,118.0,4,8828,55.0,40500,7,16848.0,23836.0,28.6,158.0,314,1,1,2.0,0.0,,2,3,9,10,12,13,18,3,19,6,100.0,331866,32658,33400,19366
78522,78522,78522,18000,18000,18000, 36 months,7.56,560.41,7,10.0,6,175000.0,Source Verified,Jan-19,Charged Off,small_business,MI,28.22,Mar-99,17.0,15,289105,2.2,44,w,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Feb-19,Individual,1141596,3,13.0,143057,65.0,4,742,36.0,387700,6,76106.0,57614.0,3.4,184.0,238,5,5,5.0,0.0,17.0,2,4,5,11,14,10,25,4,15,1,97.7,1375253,474695,58400,206054
78523,78523,78523,7500,7500,7500, 36 months,13.56,254.74,5,10.0,6,60000.0,Not Verified,Jan-19,Charged Off,credit_card,MA,36.5,Mar-10,,14,4549,21.3,34,w,7158.1,7158.1,503.83,503.83,341.9,161.93,Mar-19,254.74,Jun-19,May-19,Joint App,300537,5,3.0,79055,85.0,2,1882,73.0,21400,10,21467.0,2814.0,56.7,94.0,106,14,3,43.0,1.0,,3,5,4,5,17,8,11,5,14,3,100.0,332403,83604,6500,93453
78527,78527,78527,11000,11000,11000, 36 months,7.56,342.48,7,10.0,5,70216.0,Not Verified,Jan-19,Fully Paid,house,PA,21.11,Nov-06,,10,4403,23.2,17,w,0.0,0.0,11016.7475,11016.75,11000.0,16.75,Feb-19,11021.37,,May-19,Individual,51734,3,10.0,47331,81.0,1,2562,67.0,19000,4,5173.0,9712.0,29.6,146.0,115,22,10,22.0,10.0,,3,4,3,4,8,7,9,4,10,1,100.0,77199,51734,13800,58199
78562,78562,78562,35000,35000,35000, 60 months,11.8,775.03,6,8.0,6,125000.0,Source Verified,Jan-19,Charged Off,major_purchase,TX,10.03,Dec-04,32.0,10,7181,18.9,12,w,10688.0,10688.0,24312.0,24312.0,24312.0,0.0,Feb-19,24312.0,Jun-19,May-19,Individual,103075,3,7.0,24421,52.0,2,4080,37.0,38000,4,10308.0,30819.0,18.9,59.0,156,19,7,19.0,7.0,,4,4,6,6,3,6,6,4,10,1,91.7,164000,31602,38000,47008
78572,78572,78572,15000,15000,15000, 36 months,18.94,549.39,4,10.0,6,30000.0,Not Verified,Jan-19,Charged Off,credit_card,CA,34.8,May-89,,16,34320,64.8,28,w,14369.79,14369.79,1083.0,1083.0,630.21,452.79,Mar-19,549.39,Jun-19,May-19,Individual,34320,0,,0,,0,7513,65.0,53000,0,2451.0,18080.0,65.5,,356,32,32,32.0,19.0,,11,11,15,26,0,16,28,11,16,0,100.0,53000,34320,52400,0
78574,78574,78574,8000,8000,8000, 36 months,10.33,259.38,6,1.0,5,53000.0,Not Verified,Jan-19,Fully Paid,credit_card,CA,26.29,Mar-04,,17,18494,52.1,22,w,0.0,0.0,8225.237672,8225.24,8000.0,225.24,May-19,7711.07,,May-19,Individual,337945,9,4.0,319451,106.0,3,8552,92.0,35500,7,19879.0,14506.0,56.0,178.0,94,9,4,9.0,5.0,,5,5,6,6,14,8,8,5,17,4,100.0,328051,337945,33000,292551
78639,78639,78639,40000,40000,40000, 60 months,13.56,921.64,5,5.0,6,200000.0,Source Verified,Jan-19,Charged Off,debt_consolidation,MA,11.72,Jul-07,,10,33702,81.8,13,w,40000.0,40000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,363900,2,27.0,36547,65.0,1,10084,72.0,41200,1,36390.0,3561.0,90.0,65.0,55,4,4,4.0,,,5,6,5,5,3,7,7,6,10,1,100.0,429182,70249,35700,55982
78659,78659,78659,20000,20000,20000, 60 months,22.35,556.37,4,6.0,5,150000.0,Verified,Jan-19,Fully Paid,other,MD,9.57,Jun-00,25.0,9,7282,22.0,14,w,0.0,0.0,20016.89,20016.89,20000.0,16.89,Feb-19,20041.72,,May-19,Individual,117152,2,5.0,109870,92.0,2,1081,40.0,33100,3,13017.0,24460.0,6.3,148.0,223,1,1,29.0,1.0,25.0,3,5,5,5,4,7,10,5,9,3,78.6,92745,117152,26100,59645
78667,78667,78667,14500,14500,14500, 36 months,17.97,524.0,4,10.0,5,45700.0,Verified,Jan-19,Fully Paid,credit_card,MD,57.96,Oct-02,,14,37211,78.0,28,w,0.0,0.0,14844.352319999998,14844.35,14500.0,344.35,Feb-19,14858.83,,Apr-19,Joint App,99817,2,3.0,62606,54.0,4,8832,70.0,47700,5,7130.0,4950.0,86.5,154.0,195,1,1,2.0,,,7,11,7,8,15,12,13,11,14,4,100.0,123706,99817,36800,76006
78687,78687,78687,10000,10000,10000, 36 months,6.46,306.31,7,1.0,6,45000.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,CO,26.77,Sep-06,,17,11592,30.4,35,w,0.0,0.0,10185.68044,10185.68,10000.0,170.36,Apr-19,10093.45,,Apr-19,Individual,228602,7,11.0,61938,61.0,3,2746,47.0,38100,4,13447.0,22226.0,31.0,148.0,115,8,8,8.0,10.0,,6,8,6,6,23,9,10,8,17,4,100.0,275727,73530,32200,75616
78691,78691,78691,5925,5925,5925, 36 months,18.94,217.01,4,1.0,6,45000.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,FL,30.21,Dec-03,,6,16643,83.6,11,w,0.0,0.0,5929.243820000002,5929.24,5925.0,4.24,Feb-19,5935.47,,May-19,Joint App,186145,2,24.0,12391,46.0,0,9043,62.0,19900,1,31024.0,888.0,93.2,181.0,94,62,24,62.0,,,2,3,2,4,4,3,5,3,6,0,100.0,211367,29034,13000,26943
78695,78695,78695,15000,15000,15000, 36 months,8.19,471.37,7,5.0,6,125000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,TX,22.54,Mar-00,,17,38331,30.0,32,w,0.0,0.0,15290.796559999999,15290.8,15000.0,290.8,Apr-19,10054.88,,May-19,Individual,205703,4,3.0,47368,74.0,3,9400,45.0,127900,8,12100.0,84513.0,28.3,91.0,226,4,3,4.0,15.0,,7,9,10,14,11,12,18,9,17,4,100.0,373000,85699,117900,64100
78706,78706,78706,7000,7000,7000, 36 months,6.46,214.42,7,3.0,6,120000.0,Not Verified,Jan-19,Fully Paid,other,MO,4.24,Sep-99,77.0,19,2535,3.5,32,w,0.0,0.0,7058.891106,7058.89,7000.0,58.89,Mar-19,1546.98,,Apr-19,Individual,267132,1,8.0,9826,56.0,2,1629,14.0,72200,4,14060.0,46908.0,5.0,138.0,232,2,2,2.0,2.0,77.0,3,4,12,13,5,16,20,4,19,2,96.9,352248,12361,49400,17650
78711,78711,78711,30000,30000,30000, 60 months,11.8,664.31,6,10.0,6,120000.0,Not Verified,Jan-19,Fully Paid,debt_consolidation,PA,13.59,Sep-90,,24,4699,12.7,60,w,0.0,0.0,30777.67933000001,30777.68,30000.0,777.68,Mar-19,30133.04,,Apr-19,Individual,191705,5,2.0,40481,74.0,6,4306,49.0,37100,12,8714.0,13932.0,24.7,112.0,340,2,2,2.0,2.0,,2,4,4,12,20,17,35,4,24,8,100.0,264073,45180,18500,54690
78714,78714,78714,5000,5000,5000, 36 months,13.56,169.83,5,,6,32505.0,Not Verified,Jan-19,Fully Paid,medical,TX,20.01,Aug-94,12.0,10,8581,52.3,21,w,0.0,0.0,5078.49904,5078.5,5000.0,78.5,Feb-19,5082.27,,Mar-19,Individual,49428,2,31.0,1935,28.0,2,896,45.0,16400,2,4943.0,5425.0,16.5,34.0,293,1,1,12.0,1.0,12.0,3,5,3,9,2,7,17,5,10,2,90.5,75600,10516,6500,7000
78725,78725,78725,7000,7000,7000, 36 months,13.56,237.76,5,10.0,5,84000.0,Not Verified,Jan-19,Fully Paid,major_purchase,TX,17.33,Nov-00,67.0,12,14784,80.8,24,w,0.0,0.0,7145.983333,7145.98,7000.0,145.98,Feb-19,7151.25,,Feb-19,Individual,75397,4,14.0,60613,22.0,0,4287,44.0,18300,1,6854.0,220.0,97.4,158.0,218,33,14,33.0,0.0,68.0,2,5,2,4,9,8,13,5,12,0,78.3,96487,75397,8500,78187
78727,78727,78727,14000,14000,14000, 36 months,12.98,471.59,6,5.0,5,110000.0,Not Verified,Jan-19,Fully Paid,credit_card,FL,19.01,Nov-96,66.0,17,22938,55.7,48,w,0.0,0.0,14269.57426,14269.57,14000.0,269.57,Feb-19,14279.67,,Apr-19,Individual,63011,3,13.0,40073,91.0,1,10760,74.0,41200,5,4501.0,9790.0,68.3,120.0,266,6,6,52.0,13.0,66.0,5,8,7,18,12,14,34,8,16,1,97.4,85033,63011,30900,43833
78741,78741,78741,6000,6000,6000, 36 months,8.19,188.55,7,5.0,6,83000.0,Not Verified,Jan-19,Charged Off,debt_consolidation,MA,11.23,May-07,,15,988,2.4,20,w,5703.79,5703.79,374.37,374.37,296.21,78.16,Mar-19,188.55,Jun-19,May-19,Individual,187399,2,8.0,17434,58.0,9,152,26.0,41800,14,13386.0,22531.0,0.7,43.0,140,1,1,1.0,1.0,,2,4,9,9,4,12,14,4,15,5,100.0,246870,18422,22700,30295
78769,78769,78769,8000,8000,8000, 36 months,12.98,269.48,6,10.0,6,83945.0,Source Verified,Jan-19,Fully Paid,debt_consolidation,MI,11.91,Dec-03,25.0,11,13489,40.0,37,w,0.0,0.0,8223.105721,8223.11,8000.0,223.11,Mar-19,7959.4,,Apr-19,Individual,308099,2,6.0,114389,96.0,3,5708,58.0,34200,5,28009.0,12211.0,56.5,155.0,181,3,3,3.0,4.0,,7,7,7,8,23,8,12,7,11,4,94.3,299981,127878,25700,78561
78781,78781,78781,14400,14400,14400, 36 months,20.89,541.71,4,2.0,5,46359.0,Source Verified,Jan-19,Fully Paid,other,AZ,13.56,Aug-07,,12,892,59.5,30,w,0.0,0.0,14567.122,14567.12,14400.0,167.12,Feb-19,14583.83,,May-19,Individual,79202,11,15.0,78310,106.0,0,892,105.0,1500,2,6600.0,608.0,59.5,137.0,55,42,15,45.0,14.0,,1,1,1,2,27,1,3,1,12,0,100.0,75320,79202,1500,73820
78782,78782,78782,32000,32000,32000, 36 months,6.46,980.19,7,10.0,6,210000.0,Verified,Jan-19,Fully Paid,debt_consolidation,CA,12.12,Mar-10,,14,23959,63.7,29,w,0.0,0.0,32486.79714,32486.8,32000.0,486.8,Apr-19,158.09,,Apr-19,Individual,544727,5,10.0,82835,70.0,1,8894,68.0,37600,4,38909.0,4806.0,75.0,89.0,106,4,4,4.0,,,3,4,3,3,9,7,14,4,14,3,100.0,609220,106794,19200,108824
78798,78798,78798,10000,10000,10000, 60 months,22.35,278.19,4,,6,42000.0,Verified,Jan-19,Fully Paid,debt_consolidation,OR,19.0,Oct-08,10.0,12,5402,26.0,15,w,0.0,0.0,10560.13163,10560.13,10000.0,560.13,Apr-19,10257.11,,Apr-19,Individual,201614,2,2.0,21832,100.0,8,3338,26.0,20620,11,16801.0,2517.0,32.0,10.0,27,2,2,2.0,2.0,10.0,6,9,6,6,2,9,9,8,12,7,87.0,219336,27234,15100,21894
78817,78817,78817,25000,25000,25000, 36 months,27.27,1024.26,3,10.0,5,90000.0,Not Verified,Jan-19,Charged Off,debt_consolidation,CA,17.88,Aug-00,77.0,7,49599,82.3,21,f,25000.0,25000.0,0.0,0.0,0.0,0.0,,0.0,Jun-19,May-19,Individual,49599,0,39.0,0,,1,20425,82.0,60300,1,7086.0,10701.0,82.3,221.0,213,12,12,12.0,,,6,6,7,10,11,7,10,6,7,1,80.0,60300,49599,60300,0
